local_time,status_temperatuur,temperatuur_hoog,temperatuur_laag,kastemperatuur
28/09/2022 11:40 AM,0,27,17,20.2
28/09/2022 11:45 AM,0,27,17,21
28/09/2022 11:50 AM,0,27,17,20.9
28/09/2022 11:55 AM,0,27,17,20.5
28/09/2022 12:00 PM,0,27,17,20.4
28/09/2022 12:05 PM,0,27,17,20.4
28/09/2022 12:10 PM,0,27,17,20.4
28/09/2022 12:15 PM,0,24,16,20.5
28/09/2022 12:20 PM,0,24,16,20.4
28/09/2022 12:25 PM,0,24,16,20.4
28/09/2022 12:30 PM,0,24,16,20.3
28/09/2022 12:35 PM,0,24,16,20.5
28/09/2022 12:40 PM,0,27,17,21.4
28/09/2022 12:45 PM,0,27,17,22.3
28/09/2022 12:50 PM,0,27,17,22.8
28/09/2022 12:55 PM,0,27,17,23.2
28/09/2022 1:00 PM,0,27,17,23.2
28/09/2022 1:05 PM,0,27,17,22.9
28/09/2022 1:10 PM,0,27,17,22.7
28/09/2022 1:15 PM,0,27,17,22.7
28/09/2022 1:20 PM,0,28,18,23
28/09/2022 1:25 PM,0,28,18,23.5
28/09/2022 1:30 PM,0,28,18,23.8
28/09/2022 1:35 PM,0,28,18,23.6
28/09/2022 1:40 PM,0,28,18,23
28/09/2022 1:45 PM,0,28,18,22.3
28/09/2022 1:50 PM,0,27,17,21.6
28/09/2022 1:55 PM,0,27,17,21.4
28/09/2022 2:00 PM,0,27,17,21.1
28/09/2022 2:05 PM,0,27,17,21.1
28/09/2022 2:10 PM,0,27,17,20.9
28/09/2022 2:15 PM,0,27,17,20.6
28/09/2022 2:20 PM,0,27,17,20.7
28/09/2022 2:25 PM,0,27,17,20.6
28/09/2022 2:30 PM,0,24,16,20.7
28/09/2022 2:35 PM,0,24,16,20.6
28/09/2022 2:40 PM,1,20,15,20.4
28/09/2022 2:45 PM,0,24,16,20
28/09/2022 2:50 PM,0,24,16,19.7
28/09/2022 2:55 PM,0,27,17,19.8
28/09/2022 3:00 PM,0,27,17,20.7
28/09/2022 3:05 PM,0,27,17,21.2
28/09/2022 3:10 PM,0,27,17,21.2
28/09/2022 3:15 PM,0,27,17,21.5
28/09/2022 3:20 PM,0,27,17,21.8
28/09/2022 3:25 PM,0,27,17,21.9
28/09/2022 3:30 PM,0,27,17,22
28/09/2022 3:35 PM,0,27,17,22
28/09/2022 3:40 PM,0,27,17,22
28/09/2022 3:45 PM,0,27,17,22
28/09/2022 3:50 PM,0,27,17,22
28/09/2022 3:55 PM,0,27,17,21.7
28/09/2022 4:00 PM,0,27,17,21.3
28/09/2022 4:05 PM,0,27,17,20.7
28/09/2022 4:10 PM,0,27,17,20.5
28/09/2022 4:15 PM,0,27,17,20.6
28/09/2022 4:20 PM,0,24,16,20.5
